nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori
5 Menit Ke MRT -  dp0 bunga0% Lawan Virus Dengan Proyek Bersih,3,3,110,1400000000,20000000,"Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-menit-ke-mrt-dp0-bunga0-lawan-virus-dengan-proyek-bersih-oleh-eddy-17248856,"0 - 1,5 M",15 - 25 Juta
Dijual Rumah sangat strategis 10 menit ke MRT ( LB ),3,3,100,1400000000,20000000,"jl. cirendeu raya, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-sangat-strategis-10-menit-ke-mrt-lb-oleh-rabiatul-adewiyah-18460800,"0 - 1,5 M",15 - 25 Juta
Rumah 2 lantai akses strategis harga murah bisa KPR dan cash,3,3,110,1400000000,22580645,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-akses-strategis-harga-murah-bisa-kpr-dan-cash-oleh-popy-18826040,"0 - 1,5 M",15 - 25 Juta
Rumah Di BSD Serpong Tanpa DP Furnished 4 Kamar Tidur Cicilan 9 Jt An,0,4,81,1400000000,23333333,"BSD SERPONG TANGERANG, Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-bsd-serpong-tanpa-dp-furnished-4-kamar-tidur-cicilan-9-jt-an-oleh-stephen-lim-18707708,"0 - 1,5 M",15 - 25 Juta
"Rumah Siap Huni 3 Kamar Tidur Sertifikat SHM, Jakarta Selatan",2,3,88,1399000000,19430556,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-3-kamar-tidur-sertifikat-shm-jakarta-selatan-oleh-david-sapto-dwiputro-17734317,"0 - 1,5 M",15 - 25 Juta
RUMAH READY PINGGIR JL. RAYA 10MNIT KE MRT L. BULUS ( crnd ),3,3,100,1399000000,19985714,"jl. cirendeu raya, Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-ready-pinggir-jl-raya-10mnit-ke-mrt-l-bulus-crnd-oleh-rabiatul-adewiyah-17930771,"0 - 1,5 M",15 - 25 Juta
Rumah Mewah Di Jakarta Selatan,1,3,73,1397000000,22532258,"Jakarta selatan, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-jakarta-selatan-oleh-rahmi-18629860,"0 - 1,5 M",15 - 25 Juta
"Hunian nyaman murah dikelasnya, dan strategis diarea selatan jakarta deket MRT 5 menit ke tol andara",2,3,87,1397000000,19957143,"Jatiloka residence, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-nyaman-murah-dikelasnya-dan-strategis-diarea-selatan-jakarta-deket-mrt-5-menit-ke-tol-andara-oleh-haries-eko-winarno-17084726,"0 - 1,5 M",15 - 25 Juta
Rumah Pilihan Milenial Dekat Cilandak Square Jakarta Selatan,2,3,73,1397000000,22532258,"Pondok Labu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-pilihan-milenial-dekat-cilandak-square-jakarta-selatan-oleh-ratih-18104104,"0 - 1,5 M",15 - 25 Juta
Rumah Exclusive 2 Lantai gaya kekinian dekat Tol Andara,2,3,73,1397000000,22532258,"Pondok Labu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-exclusive-2-lantai-gaya-kekinian-dekat-tol-andara-oleh-fatma-mutia-17807883,"0 - 1,5 M",15 - 25 Juta
