nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori
rumah baru patra kuningan,8,8,4617,300000000000,150000000,"patra, gatot subroto, kuningan, jakarta, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-patra-kuningan-oleh-agus-faisal-18938015,20 M - Max,30 Juta- Max
Hunian mewah 3 lantai di lengkapi Rooftop lokasi strategis di jakarta selatan,4,4,95,173000000000,2790322581,"jagakarsa, jakarta timur, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-mewah-3-lantai-di-lengkapi-rooftop-lokasi-strategis-di-jakarta-selatan-oleh-elsa-18930090,20 M - Max,30 Juta- Max
"5 Bedrooms Rumah Kebayoran Baru, Jakarta Selatan, DKI Jakarta",5,5,914,170000000000,175983437,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-bedrooms-rumah-kebayoran-baru-jakarta-selatan-dki-jakarta-oleh-sarman-17985928,20 M - Max,30 Juta- Max
Rumah Dijual Pondok Indah,5,5,1619,110000000000,68750000,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-oleh-andien-rr-18612678,20 M - Max,30 Juta- Max
Dijual rumah pangeran antasari mewah & Elite,6,5,936,102000000000,39968652,"jl pangeran antasari, Antasari, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-pangeran-antasari-mewah-elite-oleh-suwandi-17597269,20 M - Max,30 Juta- Max
Dijual Rumah di Kebayoran Baru Dekat SCBD,5,5,1100,87000000000,96666667,"Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-kebayoran-baru-dekat-scbd-oleh-clement-francis-18944487,20 M - Max,30 Juta- Max
Rumah Mewah Modern Classic With lift and Private Pool di Pondok Indah,10,10,1670,87000000000,73728814,"Jalan Raya Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-modern-classic-with-lift-and-private-pool-di-pondok-indah-oleh-yoni-topan-18520184,20 M - Max,30 Juta- Max
Dijual cepat rumah mewah permata hijau strategis bebas banjir 1650 meter bagus,5,7,1000,84999000000,51514545,"Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-permata-hijau-strategis-bebas-banjir-1650-meter-bagus-oleh-kevin-tanuwidjaya-17762808,20 M - Max,30 Juta- Max
Rumah Hoek Jl Patiunus,3,7,600,83000000000,69166667,"Jl. Patiunus, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-hoek-jl-patiunus-oleh-octavia-sylvie-18577620,20 M - Max,30 Juta- Max
Rumah Dijual Pondok Indah,3,5,1487,78000000000,78000000,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-oleh-andien-rr-18364454,20 M - Max,30 Juta- Max
Rumah dan Ruko Area Komersil di Kemang Jakarta Selatan Lokasi Strategis,10,10,1750,78000000000,30805687,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dan-ruko-area-komersil-di-kemang-jakarta-selatan-lokasi-strategis-oleh-dhenis-emanuel-18657870,20 M - Max,30 Juta- Max
Rumah Bagus di Patra Kuningan Jakarta Selatan,6,8,700,75000000000,75757576,"Patra Kuningan Jakarta Selatan, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-di-patra-kuningan-jakarta-selatan-oleh-christin-sitompul-18879765,20 M - Max,30 Juta- Max
Rumah Cantik Wijaya Kebayoran Baru LT700 jakarta selatan,6,8,1500,75000000000,107142857,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-wijaya-kebayoran-baru-lt700-jakarta-selatan-oleh-yohanes-18616190,20 M - Max,30 Juta- Max
Dijual rumah mewah Pondok Indah Jakarta Selatan lokasi premium !,6,7,1050,69000000000,110400000,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-pondok-indah-jakarta-selatan-lokasi-premium-oleh-ahmad-sauqi-18891105,20 M - Max,30 Juta- Max
Rumah Tua Dekat Senopati,4,4,500,68000000000,68000000,"Jl. Tirtayasa, Senopati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tua-dekat-senopati-oleh-winnie-18794244,20 M - Max,30 Juta- Max
Lamandau Jakarta Selatan,6,5,1000,68000000000,144373673,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-lamandau-jakarta-selatan-oleh-winda-lubis-18920349,20 M - Max,30 Juta- Max
Rumah Dijual di Kebayoran Baru. Rumah Baru Mewah,4,4,1200,65000000000,135416667,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-kebayoran-baru-rumah-baru-mewah-oleh-vincent-brata-16583571,20 M - Max,30 Juta- Max
Permata Hijau Belakang Belleza Apartemen,6,6,1200,65000000000,82174463,"Permata Mirah, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-permata-hijau-belakang-belleza-apartemen-oleh-luzi-nadya-se-18915848,20 M - Max,30 Juta- Max
rumah kebayoran baru jakarta selatan dekat barito melawai wijaya,6,5,1200,65000000000,122641509,"lamandau raya, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kebayoran-baru-jakarta-selatan-dekat-barito-melawai-wijaya-oleh-agus-faisal-18242686,20 M - Max,30 Juta- Max
Pondok Indah Luxury House Siap Huni Best Deal,4,4,950,60000000000,40595399,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-luxury-house-siap-huni-best-deal-oleh-nizar-luthfi-18446204,20 M - Max,30 Juta- Max
"5 Bedrooms Rumah Pondok Indah, Jakarta Selatan, DKI Jakarta",5,5,1050,59000000000,94098884,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-bedrooms-rumah-pondok-indah-jakarta-selatan-dki-jakarta-oleh-sarman-17953828,20 M - Max,30 Juta- Max
Dijual Harga Under Market Rumah Pondok Indah LT : 625 | LB : 1050 Rp 59 M Nego,5,5,1050,59000000000,94400000,"Jl. Pondok Indah Raya, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-harga-under-market-rumah-pondok-indah-lt-625-lb-1050-rp-59-m-nego-oleh-ikbal-j-rusli-18495845,20 M - Max,30 Juta- Max
"Pondok Indah, Rumah Baru Mewah Lokasi Prime",5,5,1000,59000000000,95161290,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-rumah-baru-mewah-lokasi-prime-oleh-vincent-brata-18491860,20 M - Max,30 Juta- Max
Pondok Indah,7,8,1000,59000000000,54883721,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-rito-armand-s-18927490,20 M - Max,30 Juta- Max
Pondok Indah,7,5,1050,59000000000,94400000,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-winda-lubis-18920281,20 M - Max,30 Juta- Max
Kuningan Jakarta Selatan,3,4,500,58900000000,56309751,"Patra Kuningan, Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kuningan-jakarta-selatan-oleh-novi-jusmanto-e-18211435,20 M - Max,30 Juta- Max
Senopati,4,5,600,58000000000,81575246,"Mpu sendok, Senopati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-senopati-oleh-zulvi-rosli-putra-18927341,20 M - Max,30 Juta- Max
Pondok Indah Brand New Luxury Classic Best Price,5,5,900,57000000000,91935484,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-brand-new-luxury-classic-best-price-oleh-nizar-luthfi-18066573,20 M - Max,30 Juta- Max
Rumah Kebayoran Baru Hang Jebat iii,5,5,432,56000000000,60409924,"Hang jebat iii, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kebayoran-baru-hang-jebat-iii-oleh-luzi-nadya-se-18680907,20 M - Max,30 Juta- Max
Rumah Mewah di Kebayoran Baru,2,4,600,55000000000,53554041,"mertimbang, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-kebayoran-baru-oleh-remmi-michael-15902027,20 M - Max,30 Juta- Max
ampera,4,4,500,55000000000,20000000,"ampera raya, kemang, jakarta selatan, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-ampera-oleh-agus-faisal-18932682,20 M - Max,15 - 25 Juta
"Kebayoran Baru, Rumah Bagus Lokasi Strategis",4,4,600,55000000000,53554041,"Kebayoran Baru, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-rumah-bagus-lokasi-strategis-oleh-vincent-brata-16631710,20 M - Max,30 Juta- Max
Rumah Lama di Jl. Bangka Raya,5,6,600,55000000000,25629077,"Jl. Bangka Raya, Bangka, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lama-di-jl-bangka-raya-oleh-sisie-17634985,20 M - Max,25 - 30 Juta
Kemang Rumah Super Mewah Brand New Desain Modern Klasik,6,6,1200,55000000000,36666667,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemang-rumah-super-mewah-brand-new-desain-modern-klasik-oleh-nizar-luthfi-18463147,20 M - Max,30 Juta- Max
"Pondok Indah, 2lt, LT/LB 1235/690m2",6,10,690,55000000000,44534413,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-2lt-lt-lb-1235-690m2-oleh-nola-18926405,20 M - Max,30 Juta- Max
Kebayoran baru,6,8,600,55000000000,53398058,"Kebayoran, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-nelfi-tanjung-18940699,20 M - Max,30 Juta- Max
DIJUAL RUMAH PONDOK INDAH ~ LT/LB 1. 075/1. 000 ~ MODERN TROPICAL RESORT ~ DESIGN BY ANDRA MATIN ~ DAL,7,8,1000,55000000000,51162791,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-pondok-indah-lt-lb-1-075-1-000-modern-tropical-resort-design-by-andra-matin-dal-oleh-nia-rianto-18587942,20 M - Max,30 Juta- Max
Pondok Indah Luxury House Area Premium Dekat Taman Siap Huni,6,6,1400,53000000000,62352941,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-luxury-house-area-premium-dekat-taman-siap-huni-oleh-nizar-luthfi-18119689,20 M - Max,30 Juta- Max
"Dijual BU Rumah 2 Lantai Furnish Bagus di Permata Hijau Bagus, ada Kolam Renang",6,6,800,52000000000,55319149,"Jl. Permata Intan, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-bu-rumah-2-lantai-furnish-bagus-di-permata-hijau-bagus-ada-kolam-renang-oleh-ellen-17131964,20 M - Max,30 Juta- Max
Dijual Rumah 3 Lantai di Pondok Indah,6,6,1300,52000000000,91068301,"Jakarta Selatan, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-3-lantai-di-pondok-indah-oleh-nurul-laela-roswati-s-psi-18384551,20 M - Max,30 Juta- Max
Mega Kuningan dijual cepat harga NJOP lokasi premium.,6,6,1500,51000000000,72033898,"Mega Kuningan Barat, Mega Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-mega-kuningan-dijual-cepat-harga-njop-lokasi-premium-oleh-cecep-baskara-17823090,20 M - Max,30 Juta- Max
Rumah Tinggal di Jalan Sisingamangaraja,6,6,800,50000000000,80645161,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tinggal-di-jalan-sisingamangaraja-oleh-akhira-wardah-dita-16495003,20 M - Max,30 Juta- Max
Cilandak Banting Harga Rumah Margasatwa Jauh Dibawah NJOP,8,9,5000,50000000000,6996921,"Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-banting-harga-rumah-margasatwa-jauh-dibawah-njop-oleh-nizar-luthfi-17840199,20 M - Max,0 - 10 Juta
Menteng jakarta pusat,6,6,1000,49500000000,116745283,"Tanjung, Menteng, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-menteng-jakarta-pusat-oleh-machrus-18944525,20 M - Max,30 Juta- Max
Pondok Indah Rumah Mewah Gaya Eropa Best Price,5,5,1400,49000000000,54626533,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-rumah-mewah-gaya-eropa-best-price-oleh-nizar-luthfi-18121785,20 M - Max,30 Juta- Max
Rumah Strategis & Premium Jl. Sisingamangaraja,3,4,564,48000000000,58323208,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-strategis-premium-jl-sisingamangaraja-oleh-octavia-sylvie-18577495,20 M - Max,30 Juta- Max
kebayoran baru,3,4,564,48000000000,58323208,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-ristalina-18892302,20 M - Max,30 Juta- Max
Rumah Lux Pondok Indah siap huni,6,6,1350,48000000000,73846154,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-pondok-indah-siap-huni-oleh-fenny-d-18873240,20 M - Max,30 Juta- Max
Rumah lux pondok indah,7,7,1400,48000000000,82332762,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-pondok-indah-oleh-fenny-d-16161975,20 M - Max,30 Juta- Max
Rumah di Jual di lokasi strategis di Duren Tiga,0,10,2000,48000000000,14911463,"Duren Tiga, Duren Tiga, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-jual-di-lokasi-strategis-di-duren-tiga-oleh-febe-manurung-18371988,20 M - Max,10 - 15 Juta
RUMAH LUX SISINGAMANGARAJA TERMURAH,3,3,823,47000000000,83333333,"Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-sisingamangaraja-termurah-oleh-marina-evalisa-18922938,20 M - Max,30 Juta- Max
Rumah Ruko Bekas salon Kecantikan Main road Cocok Buat usaha,4,4,690,47000000000,68017366,"jalan wijaya 1, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-ruko-bekas-salon-kecantikan-main-road-cocok-buat-usaha-oleh-dadan-18833886,20 M - Max,30 Juta- Max
rumah dijual pondok indah jakarta selatan,4,4,1400,45000000000,92783505,"metro pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-jakarta-selatan-oleh-agus-faisal-18249940,20 M - Max,30 Juta- Max
Pondok Indah dekat Bukit Golf Harga Miring,5,5,800,45000000000,53317536,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-dekat-bukit-golf-harga-miring-oleh-nizar-luthfi-18080756,20 M - Max,30 Juta- Max
Rumah Kuningan,5,5,800,45000000000,60810811,"Kuningan Raya, Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kuningan-oleh-chris-cornelius-17728581,20 M - Max,30 Juta- Max
Dijual Cepat Rumah Mewah di Pondok Indah,5,6,900,45000000000,62849162,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-di-pondok-indah-oleh-hartono-humin-%E4%B8%81-%E9%96%8B-%E7%82%AB-18776876,20 M - Max,30 Juta- Max
Jual Rumah Mewah Pondok Indah,5,6,1000,45000000000,62849162,"Pondok Indah Jakarta Selatan, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-rumah-mewah-pondok-indah-oleh-ria-yuliantini-18706416,20 M - Max,30 Juta- Max
"Dijual rumah mewah di pondok indah , jakarta selatan !",5,6,900,45000000000,62849162,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-di-pondok-indah-jakarta-selatan-oleh-ahmad-sauqi-18890892,20 M - Max,30 Juta- Max
Dijual Rumah Mewah Lokasi Strategis Di Jalan Tulodong Jakarta Selatan,5,7,520,45000000000,63025210,"Senopati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-lokasi-strategis-di-jalan-tulodong-jakarta-selatan-oleh-dasep-18875547,20 M - Max,30 Juta- Max
Dijual rumah mewah Pondok indah kondisi baru jadi 3 lantai lokasi asri tenang hadap timur  !,5,5,1200,45000000000,93167702,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-pondok-indah-kondisi-baru-jadi-3-lantai-lokasi-asri-tenang-hadap-timur-oleh-ahmad-sauqi-18891146,20 M - Max,30 Juta- Max
Dijual Rumah mewah Area kemang jakarta selatan Siap huni !,6,10,1050,45000000000,40909091,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-area-kemang-jakarta-selatan-siap-huni-oleh-ahmad-sauqi-18846437,20 M - Max,30 Juta- Max
"Dijual rumah mewah Classic Di Pondok Indah , jakarta selatan !",6,6,600,45000000000,68807339,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-classic-di-pondok-indah-jakarta-selatan-oleh-ahmad-sauqi-18891004,20 M - Max,30 Juta- Max
Cipete jakarta selatan,7,7,1100,45000000000,45918367,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cipete-jakarta-selatan-oleh-aji-18881299,20 M - Max,30 Juta- Max
PONDOK INDAH BRAND NEW LUXURY HOUSE IN PREMIUM AREA BEST DEAL ! ! HOEK,7,8,1400,45000000000,92783505,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-brand-new-luxury-house-in-premium-area-best-deal-hoek-oleh-nizar-luthfi-17744952,20 M - Max,30 Juta- Max
House At Permata Hijau for Sell,4,4,900,44999999999,58441558,"Jalan Mas Murni, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-house-at-permata-hijau-for-sell-oleh-daniel-harjadinata-17667034,20 M - Max,30 Juta- Max
"6 Bedrooms Rumah Pondok Indah, Jakarta Selatan, DKI Jakarta",5,6,1000,43500000000,60754190,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-6-bedrooms-rumah-pondok-indah-jakarta-selatan-dki-jakarta-oleh-sarman-17985365,20 M - Max,30 Juta- Max
Pondok Indah,6,6,1000,43500000000,60754190,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-winda-lubis-18817280,20 M - Max,30 Juta- Max
KEBAYORAN BARU HARGA MIRING HITUNG TANAH AREA PREMIUM LAMANDAU POSISI HOEK,5,6,600,42500000000,46961326,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-harga-miring-hitung-tanah-area-premium-lamandau-posisi-hoek-oleh-nizar-luthfi-17957342,20 M - Max,30 Juta- Max
Rumah Siap Huni Jarang ada Lokasi Cipete,4,4,500,40000000000,47619048,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-jarang-ada-lokasi-cipete-oleh-hesti-18877058,20 M - Max,30 Juta- Max
Pondok Indah,4,5,587,40000000000,65789474,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-winda-lubis-18821747,20 M - Max,30 Juta- Max
PONDOK INDAH BANTING HARGA RUMAH MEWAH HARGA CANTIK MILIK PENGUSAHA TERKENAL,5,6,900,40000000000,55632823,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-banting-harga-rumah-mewah-harga-cantik-milik-pengusaha-terkenal-oleh-nizar-luthfi-17791668,20 M - Max,30 Juta- Max
Dijual Rumah Mewah Design Skandinavia siap huni di Pondok indah Jakarta Selatan,5,8,900,40000000000,63694268,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-design-skandinavia-siap-huni-di-pondok-indah-jakarta-selatan-oleh-melda-dahmin-18939265,20 M - Max,30 Juta- Max
Pondok Indah Dekat Bukit Golf Rumah Mewah,6,8,502,40000000000,52424640,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-dekat-bukit-golf-rumah-mewah-oleh-nizar-luthfi-17958573,20 M - Max,30 Juta- Max
2 Rumah Lama Dalam Satu Area Di Cipete,7,9,1300,40000000000,23529412,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-2-rumah-lama-dalam-satu-area-di-cipete-oleh-dasep-18513756,20 M - Max,15 - 25 Juta
Dijual rumah mewah Simprug Garden belakang BINUS  Simprug Garden,10,10,1200,40000000000,58139535,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-simprug-garden-belakang-binus-simprug-garden-oleh-dewi-sabina-18934219,20 M - Max,30 Juta- Max
kebayoran baru,3,4,600,39000000000,53206003,"wijaya, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-yudhistira-arimbawa-18795951,20 M - Max,30 Juta- Max
Rumah di Pakubuwono VI No. 12,3,4,450,39000000000,72761194,"Jl. Pakubuwono VI No. 12, Jakarta Selatan, Pakubuwono, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-pakubuwono-vi-no-12-oleh-aldila-a-wibowo-16150975,20 M - Max,30 Juta- Max
"Pejaten Barat, Kemang Timur, Rumah BIsa Untuk Kantor dan Bisnis",4,5,960,39000000000,18509729,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pejaten-barat-kemang-timur-rumah-bisa-untuk-kantor-dan-bisnis-oleh-nina-ika-dewandari-18370055,20 M - Max,15 - 25 Juta
Rumah Mewah Siap Huni Kebayoran Baru,4,4,479,39000000000,78000000,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-siap-huni-kebayoran-baru-oleh-donny-18854239,20 M - Max,30 Juta- Max
Rumah Bagus Dijual di Kebayoran Baru Dekat Senopati,4,4,550,39000000000,81419624,"Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-dijual-di-kebayoran-baru-dekat-senopati-oleh-vincent-brata-17543364,20 M - Max,30 Juta- Max
Kebayoran baru,4,4,500,39000000000,97500000,"Kebayoran baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-remmi-michael-18858002,20 M - Max,30 Juta- Max
Rumah Besar dan Luas Harga Bersaing di Pondok Indah,5,6,825,39000000000,50781250,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-besar-dan-luas-harga-bersaing-di-pondok-indah-oleh-gerry-18900052,20 M - Max,30 Juta- Max
Rumah di Pondok Indah,5,8,650,39000000000,61904762,"Pondok Indah, Pondok Pinang,, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-pondok-indah-oleh-yanti-17667603,20 M - Max,30 Juta- Max
DIJUAL RUMAH MEWAH  KEMANG JAKARTA SELATAN !,6,8,900,39000000000,33913043,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-kemang-jakarta-selatan-oleh-ahmad-sauqi-18833437,20 M - Max,30 Juta- Max
Rumah Bagus di Kebayoran Baru dekat Senopati,6,6,500,39000000000,97500000,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-di-kebayoran-baru-dekat-senopati-oleh-dhenis-emanuel-18910987,20 M - Max,30 Juta- Max
Kemang Dalam Area Favorit & Terelit Rumah Mewah Brand New Spek Istimewa,4,5,900,38500000000,33478261,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemang-dalam-area-favorit-terelit-rumah-mewah-brand-new-spek-istimewa-oleh-nizar-luthfi-18854699,20 M - Max,30 Juta- Max
Pondok Indah dekat Bukit Golf Mewah Best Price,6,9,512,38500000000,46497585,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-dekat-bukit-golf-mewah-best-price-oleh-nizar-luthfi-17927904,20 M - Max,30 Juta- Max
Rumah Patra Kuningan Jakarta Selatan,3,6,550,38000000000,48223350,"Patra Kuningan Jakarta Selatan, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-patra-kuningan-jakarta-selatan-oleh-christin-sitompul-18266344,20 M - Max,30 Juta- Max
rumah baru brawijaya kebayoran baru,5,4,11000,38000000000,90909091,"brawijaya kebayoran baru jakarta selatan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-brawijaya-kebayoran-baru-oleh-agus-faisal-18244097,20 M - Max,30 Juta- Max
Pejaten Barat,6,6,900,38000000000,36750484,"Pejaten barat, Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pejaten-barat-oleh-nelfi-tanjung-18476750,20 M - Max,30 Juta- Max
